"","raw","adj_index"
"South Africa",-57.6982383363126,10.3706658995597
"Malawi",-25.9817712949071,-5.18018604024139
"Zambia",-14.2912853521664,-2.61780841259004
"Angola",70.5871261225163,1.44433644796055
"Mozambique",2.34744577668026,-5.10826562031879
"Kenya",-5.12299868825357,-3.67131551609543
"Tanzania",-41.0896745184695,-4.26528317457765
"Uganda",8.53411546683876,-4.78211590650078
"Nigeria",-9.80890951229443,-0.924706717533256
"Namibia",1.68487984451224,6.68151293108698
"Botswana",-4.11943978358388,10.3678155972033
"Ghana",48.1536353198267,-2.62808275829327
"Mauritius",19.4139772219154,17.0494546093683
"Seychelles",52.1298174442191,28.002658371493
