country,local currency,local price,dollar price,new1dollar t local,local/dollar price,Raw BM_index,gdp per cap,Forecast,adj index
South Africa,Rand  ZAR,59,4.15,14,11.1742424242,-20.18,7524.51,5.3874286509,-22.97
Malawi,kwatcha MWK,2965,4.08,727,561.553030303,-22.76,486.45,5.4059972477,-24.53
Zimbabwe,Dollar ZWD,7,7,361,1.3257575758,-99.63,927.4,,
Zambia,Kwatcha ZMK,56,4.78,11636,10.6060606061,-99.91,1646.14,,
Angola,Kwanza  AOA,2895,9,308,548.2954545455,78.02,3484.6,5.3980871932,66.73
Mozambique,Metical MZN,344,5.66,61,65.1515151515,6.81,519,5.4059113706,4.70
Kenya,Shilling KES,528,5.21,101,100,-0.99,1169.34,5.4041955709,-3.59
Tanzania,Shilling TZS,7430,3.24,2289,1407.196969697,-38.52,900.52,5.4049048019,-40.05
Uganda,Shilling UGX,22384,5.98,3743,4239.3939393939,13.26,666.61,5.4055219294,10.63
Nigeria,naira NGN,1794,4.94,361,339.7727272727,-5.88,2412.41,5.4009159647,-8.53
Namibia,Dollar NAD,79,5.47,14.1,14.9621212121,6.11,5854.86,5.3918337082,1.45
Botswana,Pula BWP,56,5.29,10.6,10.6060606061,0.06,7523.22,5.3874320543,-1.81
USA,dollar,5.28,,,,,,,
